customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount,policy_type,vehicle_class
QE12539,California,M,Doctor,1273195,40870,105,0,504,Personal Auto,SUV
YO15246,Nevada,M,High School or Below,349414,35001,96,3,460,Personal Auto,Four-Door Car
WF73839,Arizona,F,College,759791,49937,64,0,302,Personal Auto,Two-Door Car
TJ11671,Oregon,F,Bachelor,401521,0,109,0,523,Personal Auto,Four-Door Car
SV34223,California,F,College,2047710,58317,73,0,350,Personal Auto,Four-Door Car
XD19546,California,F,High School or Below,816068,0,109,0,523,Personal Auto,SUV
OY95739,Nevada,M,High School or Below,1229868,17101,113,0,542,Corporate Auto,SUV
SW57539,California,F,College,871492,0,118,0,566,Corporate Auto,SUV
IA62027,Arizona,F,Bachelor,485353,0,65,0,468,Personal Auto,Four-Door Car
FZ20933,Oregon,M,High School or Below,488094,24398,63,1,302,Personal Auto,Four-Door Car
WR62597,Oregon,M,College,231138,24641,61,0,294,Corporate Auto,Four-Door Car
KU61611,Arizona,M,High School or Below,432709,69040,108,0,518,Corporate Auto,Luxury
XW98867,Oregon,M,High School or Below,1229868,17101,113,0,542,Personal Auto,SUV
PP80817,California,F,High School or Below,832353,59886,104,0,71,Personal Auto,Luxury
DT77901,Oregon,F,Bachelor,1017971,14290,271,0,1300,Personal Auto,Luxury
DX34647,California,F,College,776126,43137,96,0,460,Personal Auto,Two-Door Car
OD56551,Oregon,M,College,523989,27978,69,1,447,Personal Auto,Four-Door Car
OO63074,California,F,Bachelor,451790,25261,118,0,566,Personal Auto,SUV
EH24828,Nevada,M,College,238977,58652,64,5,307,Personal Auto,Four-Door Car
CX99919,Nevada,F,College,413062,28321,111,0,537,Corporate Auto,SUV
DG80424,Washington,F,College,269156,77411,67,0,257,Personal Auto,Four-Door Car
NU32697,Oregon,M,College,522776,0,72,0,518,Corporate Auto,Four-Door Car
PU98976,California,F,Bachelor,618734,0,88,0,633,Personal Auto,Four-Door Car
ZR20842,Arizona,M,College,511387,94415,127,1,492,Personal Auto,Luxury
NF35573,Oregon,M,High School or Below,1103931,0,103,0,1149,Special Auto,SUV
DF66914,Arizona,F,Bachelor,3222708,45331,100,0,572,Personal Auto,SUV
YM99866,Arizona,M,High School or Below,261196,53904,67,2,321,Personal Auto,Four-Door Car
VH62084,California,M,High School or Below,1337232,0,74,0,811,Personal Auto,Four-Door Car
SE28250,Arizona,M,Bachelor,483898,0,70,2,336,Special Auto,Four-Door Car
MD86050,Oregon,M,High School or Below,472165,0,67,0,482,Personal Auto,Four-Door Car
GF17866,Oregon,M,College,387364,28142,105,0,701,Corporate Auto,Luxury
UB16654,Washington,M,Master,471855,15680,6464,0,260,Personal Auto,Four-Door Car
KO44736,Oregon,M,Bachelor,1697979,35095,73,0,525,Personal Auto,Two-Door Car
KI55845,Oregon,F,College,1368171,55588,114,0,547,Personal Auto,SUV
JJ24476,Arizona,F,Master,571722,52391,71,0,409,Personal Auto,Two-Door Car
VC68509,Oregon,F,Bachelor,948659,42240,79,0,46,Personal Auto,Four-Door Car
QN62502,Oregon,F,Bachelor,383914,70146,96,0,157,Personal Auto,Four-Door Car
EL92515,Oregon,F,College,1121159,41121,94,0,451,Personal Auto,Four-Door Car
VL84149,Oregon,F,College,2580706,71210,214,1,1027,Corporate Auto,Luxury
JX19907,Oregon,M,Bachelor,379832,0,107,1,1261,Corporate Auto,Two-Door Car
BC66921,Nevada,F,High School or Below,281656,41228,71,0,340,Personal Auto,Four-Door Car
RK24470,Washington,M,Bachelor,502929,40113,67,3,262,Corporate Auto,Two-Door Car
GN80437,Oregon,F,College,344496,0,91,0,596,Special Auto,Four-Door Car
AH65907,California,F,Bachelor,285940,51790,71,0,340,Personal Auto,Four-Door Car
VG57728,California,M,High School or Below,269205,92593,68,0,8,Corporate Auto,Four-Door Car
AF81450,California,M,High School or Below,1143173,28657,100,0,588,Personal Auto,SUV
YI28422,Oregon,M,High School or Below,763588,30262,98,1,499,Personal Auto,Four-Door Car
GR26937,Oregon,F,Master,980582,47197,81,0,76,Corporate Auto,Four-Door Car
BR99015,California,F,Bachelor,680361,0,94,0,451,Personal Auto,Four-Door Car
PB11270,Oregon,F,Bachelor,710765,0,61,0,541,Personal Auto,Four-Door Car
PZ89632,Oregon,F,High School or Below,473518,0,134,0,964,Personal Auto,SUV
LV62981,Arizona,M,College,687432,22093,87,0,616,Corporate Auto,Two-Door Car
AS97690,Arizona,M,College,241125,54483,61,0,292,Personal Auto,Two-Door Car
SG32258,Arizona,F,College,241654,18944,63,0,125,Personal Auto,Four-Door Car
MY80583,Oregon,F,Bachelor,2398154,84365,66,0,316,Personal Auto,Four-Door Car
WS57286,Arizona,M,College,469216,0,64,0,137,Personal Auto,Four-Door Car
MF53477,California,F,High School or Below,360093,25147,101,0,694,Corporate Auto,SUV
DQ28641,Nevada,M,High School or Below,266522,14315,71,0,511,Personal Auto,Four-Door Car
EX46492,Arizona,F,Master,766652,87864,94,0,421,Personal Auto,Two-Door Car
VW20823,California,M,High School or Below,1667589,57844,85,1,408,Personal Auto,Four-Door Car
LH26563,Oregon,F,High School or Below,455085,17913,116,0,556,Personal Auto,Four-Door Car
FR56877,Arizona,F,High School or Below,1176393,28806,99,0,475,Special Auto,Four-Door Car
ZY99878,California,M,High School or Below,1374253,90343,175,0,833,Personal Auto,SUV
CS15289,Oregon,F,Master,1613841,79041,199,0,419,Personal Auto,Luxury
MM49431,Washington,M,Bachelor,729858,74069,63,2,275,Personal Auto,Two-Door Car
IA96447,California,M,College,667373,85019,167,0,801,Personal Auto,Luxury
PT32230,California,F,High School or Below,778212,70059,194,0,253,Personal Auto,Luxury
NK73719,California,F,College,1939321,70503,164,1,41,Corporate Auto,SUV
OH15771,California,M,Bachelor,397413,0,117,0,561,Personal Auto,SUV
XP61034,Oregon,M,Bachelor,410558,39492,105,0,756,Personal Auto,SUV
ZN34245,Arizona,M,College,230847,0,68,0,489,Corporate Auto,Four-Door Car
FX55923,Arizona,M,Bachelor,537291,50405,70,1,7,Personal Auto,Four-Door Car
ZZ83340,Oregon,F,Doctor,550831,96021,68,0,315,Personal Auto,Two-Door Car
HA99340,Oregon,M,High School or Below,239833,0,65,0,422,Personal Auto,Two-Door Car
LE43061,California,M,High School or Below,372883,0,105,0,756,Personal Auto,Four-Door Car
UF77413,Oregon,M,College,275849,65794,69,1,277,Personal Auto,Four-Door Car
UY45293,Oregon,M,Bachelor,370393,21975,95,0,456,Corporate Auto,Four-Door Car
TH84309,California,M,High School or Below,937284,0,126,0,604,Personal Auto,SUV
PZ94551,Oregon,F,Bachelor,499158,56649,125,0,780,Special Auto,SUV
UE76013,Washington,F,Master,503986,35984,128,3,275,Personal Auto,SUV
HS85465,California,M,Bachelor,275997,92296,69,0,331,Corporate Auto,Two-Door Car
SI78985,Oregon,F,Bachelor,799300,39448,103,3,66,Personal Auto,Four-Door Car
KF50730,California,F,Bachelor,523557,71794,131,0,457,Personal Auto,SUV
JO13576,California,F,High School or Below,263301,21861,69,0,348,Personal Auto,Four-Door Car
HJ79774,Oregon,F,College,276480,31591,72,4,240,Corporate Auto,Four-Door Car
KI18648,Arizona,F,Bachelor,808484,60662,68,0,326,Special Auto,Two-Door Car
EL99335,California,F,College,268517,20608,73,0,350,Personal Auto,Four-Door Car
LE84979,California,F,Master,1220812,21331,103,0,419,Personal Auto,SUV
CE12380,Arizona,F,College,2009043,0,66,1,252,Corporate Auto,Four-Door Car
BJ22117,Washington,M,Master,513341,53390,6464,0,278,Personal Auto,Four-Door Car
JF83834,Oregon,M,Doctor,249131,36631,62,0,67,Corporate Auto,Four-Door Car
YN10988,California,M,High School or Below,631459,0,87,0,417,Personal Auto,Four-Door Car
YX15941,Oregon,M,College,1622964,26030,139,1,667,Corporate Auto,Luxury
ZB50601,Nevada,M,College,516178,0,70,0,469,Personal Auto,Four-Door Car
HP50399,Nevada,M,Bachelor,398226,0,113,0,542,Personal Auto,SUV
GC17585,Arizona,M,Bachelor,1347318,25302,70,1,336,Personal Auto,Four-Door Car
QW17286,Washington,F,Master,277832,66030,69,1,282,Personal Auto,Four-Door Car
DO41287,Oregon,M,High School or Below,827644,0,82,0,590,Personal Auto,Four-Door Car
GT54462,Arizona,M,Bachelor,1434985,73222,180,0,821,Personal Auto,SUV
BT76268,California,F,College,587819,22061,74,0,355,Personal Auto,Four-Door Car
QM38267,Arizona,F,High School or Below,266605,86321,66,0,316,Personal Auto,Four-Door Car
LP82042,Oregon,M,Bachelor,534568,54668,68,1,326,Personal Auto,Four-Door Car
EF52978,Arizona,F,High School or Below,477712,0,62,0,297,Personal Auto,Four-Door Car
GH54524,California,M,High School or Below,1697374,69497,142,0,92,Personal Auto,SUV
DP26592,Oregon,M,High School or Below,251811,86617,63,0,188,Personal Auto,Four-Door Car
UP29839,Nevada,F,Master,1916098,22705,239,0,1294,Personal Auto,Luxury
IB80924,Washington,F,High School or Below,3286440,90783,104,2,285,Personal Auto,SUV
OB55054,Oregon,M,Bachelor,396481,88410,99,0,475,Corporate Auto,Four-Door Car
NP91656,California,F,Bachelor,491177,0,69,0,496,Personal Auto,Four-Door Car
SH74080,Oregon,F,College,780531,21073,106,1,508,Personal Auto,SUV
KN25556,Arizona,F,College,720066,0,66,0,316,Personal Auto,Four-Door Car
RB38792,Oregon,M,College,538949,66429,136,0,57,Personal Auto,Luxury
QR72180,California,F,Doctor,324131,66889,80,0,294,Personal Auto,Four-Door Car
TW64385,California,M,Bachelor,552821,36088,72,0,345,Corporate Auto,Four-Door Car
TM13955,Washington,M,Master,299302,0,80,0,286,Corporate Auto,Four-Door Car
GF94951,Arizona,M,Bachelor,707665,0,68,0,489,Corporate Auto,Two-Door Car
NF53775,California,F,College,370038,17557,96,0,666,Personal Auto,Four-Door Car
YB58778,California,F,College,532883,81064,70,4,42,Personal Auto,Two-Door Car
PH77560,Nevada,F,High School or Below,483887,0,66,0,700,Personal Auto,Four-Door Car
ZO14864,Washington,F,Master,341720,42526,86,0,287,Personal Auto,Two-Door Car
BI34376,California,F,Doctor,787992,45703,98,0,470,Personal Auto,Two-Door Car
UQ63396,California,F,Bachelor,786943,40036,65,0,48,Personal Auto,Four-Door Car
BR23201,California,M,Bachelor,258680,0,71,0,191,Personal Auto,Four-Door Car
VH45094,Arizona,M,High School or Below,728678,65870,61,1,202,Personal Auto,Four-Door Car
KD47243,California,F,Bachelor,1179799,91469,100,2,418,Personal Auto,SUV
MY13737,California,M,High School or Below,938675,42090,119,0,203,Corporate Auto,SUV
OR48881,Oregon,F,Doctor,630892,21368,79,0,4,Corporate Auto,Four-Door Car
BD77090,Washington,F,Bachelor,860915,79090,107,0,289,Personal Auto,SUV
LW77178,Oregon,F,Bachelor,1542801,33879,98,0,470,Corporate Auto,Two-Door Car
BQ12347,Arizona,M,High School or Below,563079,72874,70,0,336,Special Auto,Four-Door Car
FF61670,California,M,High School or Below,1813118,0,82,1,393,Personal Auto,Four-Door Car
PM61374,California,F,Bachelor,808721,0,110,0,550,Personal Auto,Two-Door Car
BW25236,Arizona,M,College,1845357,72215,66,0,247,Personal Auto,Four-Door Car
XO22038,California,F,Bachelor,521751,39854,66,0,261,Corporate Auto,Two-Door Car
QG51953,Oregon,M,College,483578,36655,61,0,295,Personal Auto,Four-Door Car
SZ56338,Oregon,F,High School or Below,559712,37995,139,0,667,Personal Auto,SUV
PX60116,California,F,High School or Below,892046,40867,112,0,537,Corporate Auto,Two-Door Car
BW46202,Oregon,F,Bachelor,599541,28804,78,0,76,Personal Auto,Two-Door Car
GW14109,California,F,High School or Below,3849694,48409,124,0,345,Special Auto,SUV
GP42026,California,M,High School or Below,838263,19683,117,1,561,Personal Auto,Luxury
DH41343,Washington,F,College,244366,92834,61,0,292,Special Auto,Four-Door Car
PY42157,Washington,F,High School or Below,247225,62006,61,0,292,Personal Auto,Four-Door Car
OL36978,California,F,High School or Below,540551,67241,68,1,5,Personal Auto,Two-Door Car
KT40899,California,M,High School or Below,935247,75436,78,0,9,Personal Auto,Four-Door Car
WE60408,Arizona,F,College,433987,91761,109,2,779,Personal Auto,SUV
LG64797,California,F,College,1772376,25771,222,0,1253,Personal Auto,Luxury
MD87746,Oregon,M,College,750745,60920,64,0,231,Personal Auto,Two-Door Car
QP80741,Washington,F,College,604857,0,61,3,292,Corporate Auto,Four-Door Car
WO59883,Washington,F,High School or Below,1901447,29822,61,0,292,Personal Auto,Two-Door Car
MU79385,Arizona,M,College,1008037,60944,130,2,623,Personal Auto,SUV
JH30384,California,F,High School or Below,650339,22081,84,0,451,Personal Auto,Two-Door Car
LL45497,Washington,F,College,248772,67282,62,0,297,Personal Auto,Two-Door Car
SK95364,California,F,College,462039,0,130,0,936,Personal Auto,SUV
VG56765,Arizona,M,High School or Below,247152,95697,61,0,114,Personal Auto,Two-Door Car
NE24371,Oregon,F,College,649424,15300,85,0,408,Personal Auto,Four-Door Car
KR48903,Washington,M,High School or Below,250490,88264,62,0,297,Personal Auto,Two-Door Car
ZF27999,Nevada,F,College,490489,12902,139,0,667,Personal Auto,Luxury
MH40017,Arizona,M,High School or Below,480247,29809,61,0,365,Personal Auto,Four-Door Car
YJ99764,Nevada,M,High School or Below,795577,0,74,0,355,Personal Auto,Four-Door Car
AG22225,Oregon,M,High School or Below,694190,0,96,0,460,Personal Auto,Four-Door Car
ZJ26179,Oregon,M,Bachelor,838247,25998,71,0,791,Personal Auto,Four-Door Car
VO36036,Oregon,F,Doctor,353643,28248,90,0,634,Personal Auto,Four-Door Car
ZQ94281,California,F,College,324481,68103,82,0,277,Personal Auto,Two-Door Car
CK40732,California,F,High School or Below,761121,0,103,0,741,Special Auto,Four-Door Car
UT73461,Oregon,F,Doctor,450539,81079,111,0,134,Special Auto,SUV
LT57320,Nevada,F,Master,244584,22732,62,0,15,Personal Auto,Four-Door Car
BZ44726,Nevada,F,High School or Below,1647776,49825,70,3,336,Corporate Auto,Two-Door Car
VU32116,Oregon,F,College,354640,0,103,0,621,Personal Auto,SUV
EG94326,Nevada,M,High School or Below,427727,77265,107,0,513,Personal Auto,SUV
EJ43595,California,M,High School or Below,478477,0,72,0,779,Corporate Auto,Four-Door Car
QI37869,California,M,College,757223,12876,107,2,425,Corporate Auto,Four-Door Car
SX65826,Arizona,M,Bachelor,1176087,36431,99,0,513,Personal Auto,Two-Door Car
XO42145,Oregon,M,High School or Below,393381,25927,103,0,674,Personal Auto,SUV
WJ74851,Nevada,F,Bachelor,570076,26811,72,0,465,Personal Auto,Two-Door Car
IG68709,Oregon,F,High School or Below,349863,41711,90,0,351,Personal Auto,Four-Door Car
AC75391,Arizona,F,College,576809,35091,74,0,418,Corporate Auto,Two-Door Car
WO94087,Arizona,F,Bachelor,636195,0,87,0,417,Corporate Auto,Four-Door Car
YJ69332,Oregon,F,High School or Below,650339,22081,84,0,451,Personal Auto,Two-Door Car
WX87964,Washington,M,High School or Below,493519,29560,62,0,297,Personal Auto,Four-Door Car
PD32641,Oregon,M,College,578522,31320,72,0,293,Personal Auto,Four-Door Car
CK39096,Oregon,M,High School or Below,561968,0,153,0,1027,Personal Auto,SUV
QV19964,Oregon,M,Doctor,259928,33947,66,1,192,Personal Auto,Four-Door Car
BF72793,California,F,High School or Below,673297,0,62,0,446,Personal Auto,Two-Door Car
WB12017,California,F,College,1832186,21189,66,0,316,Personal Auto,Two-Door Car
JO17193,Washington,M,Bachelor,230069,25905,63,0,302,Personal Auto,Four-Door Car
AY84441,Oregon,M,High School or Below,400285,0,114,0,820,Personal Auto,SUV
JQ65500,Oregon,F,Bachelor,862099,44988,108,0,518,Corporate Auto,Two-Door Car
OI29521,Oregon,F,College,1038898,33432,90,0,161,Corporate Auto,Two-Door Car
MJ51323,Oregon,F,Bachelor,842717,46503,215,1,1032,Personal Auto,Luxury
QI64880,California,M,Bachelor,700727,0,101,0,973,Corporate Auto,SUV
HV93429,Oregon,F,Master,517657,23636,65,0,81,Personal Auto,Four-Door Car
TA89713,Oregon,M,College,538949,66429,136,0,57,Personal Auto,Luxury
OB98149,Washington,F,College,470000,11417,63,0,302,Personal Auto,Two-Door Car
LE65901,Oregon,F,Bachelor,443494,58082,112,1,103,Personal Auto,SUV
FF68864,Arizona,F,Bachelor,1401052,36523,71,0,101,Personal Auto,Four-Door Car
YX99200,Nevada,M,Bachelor,1235005,54710,103,0,294,Personal Auto,Two-Door Car
LZ26801,California,F,High School or Below,816157,73466,102,1,204,Personal Auto,SUV
TA66375,Oregon,F,Bachelor,1100913,51643,283,0,1358,Corporate Auto,Luxury
SC92090,Arizona,M,College,871704,83846,74,3,355,Personal Auto,Four-Door Car
TK40018,Oregon,M,High School or Below,591746,0,169,0,1207,Personal Auto,SUV
ZD63451,California,M,Bachelor,250366,53338,63,1,35,Personal Auto,Four-Door Car
AO98601,Washington,F,Bachelor,501888,54500,63,0,302,Corporate Auto,Two-Door Car
DT35588,Oregon,M,College,433038,60475,107,0,513,Personal Auto,Four-Door Car
VF87723,California,M,College,1048774,30658,89,0,441,Personal Auto,Four-Door Car
QP69826,Arizona,M,Bachelor,356750,0,102,0,660,Corporate Auto,SUV
UW37050,Oregon,F,Bachelor,1989642,60420,248,0,632,Personal Auto,Luxury
UH62254,Oregon,M,Bachelor,2142363,0,65,0,312,Personal Auto,Two-Door Car
IA15979,Washington,M,College,694832,40598,91,0,302,Personal Auto,Four-Door Car
DB71122,California,F,Doctor,351583,15144,90,0,372,Personal Auto,Four-Door Car
TM14491,California,M,Bachelor,1203662,44428,104,0,499,Personal Auto,SUV
OY94707,California,M,College,360979,58297,97,5,647,Special Auto,Four-Door Car
LN55080,Oregon,F,Bachelor,1773246,42191,74,1,68,Special Auto,Two-Door Car
TZ47750,Nevada,M,Master,850985,26057,74,0,523,Personal Auto,Four-Door Car
SJ74501,Arizona,F,Bachelor,586642,26608,73,0,234,Personal Auto,Two-Door Car
LE26899,California,M,Doctor,482550,0,63,0,272,Personal Auto,Four-Door Car
ML34366,California,M,College,538949,66429,136,0,57,Personal Auto,Luxury
EI45850,California,F,Bachelor,777800,25970,72,3,430,Personal Auto,Four-Door Car
LD75023,Oregon,M,High School or Below,2634608,48268,223,0,1605,Personal Auto,Luxury
JW12998,California,F,High School or Below,1486645,24279,126,0,604,Personal Auto,Luxury
LP47259,Arizona,M,High School or Below,832423,0,121,0,871,Corporate Auto,Luxury
XD21246,Oregon,F,High School or Below,923830,0,128,0,921,Personal Auto,SUV
DW59142,Nevada,F,High School or Below,2269329,71879,64,0,9,Corporate Auto,Two-Door Car
KX54900,Arizona,M,Doctor,623601,57760,78,0,223,Special Auto,Four-Door Car
XV83643,California,M,College,501218,20976,129,1,735,Personal Auto,Luxury
XY33610,Washington,M,College,1569553,97750,65,0,303,Personal Auto,Four-Door Car
GK48045,Washington,F,College,821460,73245,68,0,305,Personal Auto,Four-Door Car
ET79528,California,M,College,311898,23008,79,1,80,Personal Auto,Four-Door Car
RA66180,Washington,F,High School or Below,276403,33837,72,4,305,Corporate Auto,Two-Door Car
BC66536,Arizona,F,High School or Below,688368,84869,85,0,408,Corporate Auto,Four-Door Car
PN22481,Oregon,M,College,221591,0,66,0,316,Corporate Auto,Two-Door Car
XR95069,Washington,F,Bachelor,485474,29834,6464,0,307,Personal Auto,Four-Door Car
IF38438,Arizona,F,High School or Below,2152294,44695,79,2,81,Personal Auto,Two-Door Car
ZC62609,Oregon,F,High School or Below,276169,0,77,0,554,Personal Auto,Four-Door Car
FD64348,Oregon,M,High School or Below,2256361,23046,65,3,1,Personal Auto,Two-Door Car
TA58285,Oregon,M,High School or Below,528591,0,73,0,392,Personal Auto,Two-Door Car
WV66165,Oregon,F,High School or Below,3506264,84811,111,0,278,Personal Auto,SUV
YE27183,Oregon,M,Bachelor,591319,0,91,0,436,Corporate Auto,Four-Door Car
TI47802,California,F,Master,259339,0,69,0,331,Personal Auto,Two-Door Car
ZZ44902,Arizona,M,High School or Below,1269267,40117,108,0,750,Personal Auto,Two-Door Car
JD73594,Oregon,M,Bachelor,330911,72140,87,2,417,Personal Auto,Four-Door Car
VW82067,Washington,F,Master,518162,97131,6464,0,307,Personal Auto,Four-Door Car
JS55721,California,M,College,241393,12495,65,0,312,Personal Auto,Four-Door Car
ZB62469,California,M,High School or Below,216168,0,67,2,482,Corporate Auto,Two-Door Car
HZ74609,Oregon,F,Bachelor,552798,0,72,0,345,Personal Auto,Four-Door Car
TJ76363,Arizona,F,Doctor,1062921,36495,133,1,229,Corporate Auto,SUV
QZ58370,Nevada,F,Bachelor,1182010,86801,98,0,371,Personal Auto,Four-Door Car
RF44930,California,M,College,496463,52679,62,0,117,Personal Auto,Four-Door Car
VJ44100,California,M,Master,912292,90804,113,0,434,Personal Auto,Luxury
KN13494,Washington,F,Master,518162,97131,6464,0,307,Personal Auto,Four-Door Car
NL80137,Oregon,F,College,346066,14262,90,0,290,Personal Auto,Four-Door Car
NZ57065,Oregon,M,Bachelor,287298,36844,73,0,283,Personal Auto,Four-Door Car
NM42917,Arizona,F,College,992787,58703,127,2,227,Personal Auto,SUV
RR68322,Nevada,M,High School or Below,348268,65162,86,0,134,Personal Auto,Four-Door Car
OF78862,Oregon,F,College,399172,54964,99,0,525,Personal Auto,Four-Door Car
SC93784,Oregon,M,Bachelor,551010,61401,69,0,144,Personal Auto,Four-Door Car
CM59084,Oregon,F,High School or Below,360093,25147,101,0,694,Corporate Auto,SUV
QA41558,Oregon,F,Master,541945,73536,67,0,172,Personal Auto,Two-Door Car
SD62061,Oregon,F,High School or Below,581063,24860,73,0,350,Personal Auto,Four-Door Car
VP13613,California,M,Bachelor,394272,65404,99,0,300,Personal Auto,Four-Door Car
HF96939,Oregon,M,High School or Below,312627,34510,81,0,388,Personal Auto,Four-Door Car
DU18362,California,M,Bachelor,353000,0,108,0,777,Corporate Auto,Two-Door Car
UG34438,Washington,F,College,1099059,44552,137,0,311,Personal Auto,SUV
XQ19793,Arizona,M,High School or Below,477294,20993,133,0,638,Personal Auto,SUV
OB77084,Oregon,F,Bachelor,220233,0,61,1,292,Personal Auto,Two-Door Car
LK74984,Washington,M,High School or Below,245917,21190,65,2,312,Personal Auto,Four-Door Car
JE13986,Arizona,F,College,1037388,62587,86,0,412,Personal Auto,Four-Door Car
QR15221,Washington,F,High School or Below,258420,22562,65,0,312,Personal Auto,Two-Door Car
LD49835,California,M,High School or Below,430742,73345,107,0,513,Personal Auto,SUV
EK19337,Oregon,F,High School or Below,304025,0,83,0,989,Personal Auto,Four-Door Car
GD55093,California,F,Master,1916098,22705,239,0,1294,Personal Auto,Luxury
RX19151,Washington,M,Bachelor,817657,67137,111,5,314,Personal Auto,SUV
TJ30354,Oregon,F,Bachelor,528530,22627,67,0,321,Personal Auto,Four-Door Car
TA75663,California,F,Master,802499,38702,101,3,253,Personal Auto,SUV
WG15841,California,M,Bachelor,281046,26790,71,0,340,Personal Auto,Two-Door Car
LO68739,Arizona,F,Bachelor,773955,64859,96,0,266,Personal Auto,Four-Door Car
BE61743,Washington,M,Bachelor,410979,86657,103,0,316,Personal Auto,Luxury
EG56026,Nevada,F,High School or Below,327516,69263,81,2,494,Personal Auto,Two-Door Car
VF21395,Oregon,M,Bachelor,265269,82655,66,0,316,Personal Auto,Two-Door Car
SI11249,California,F,High School or Below,504822,29401,65,0,312,Personal Auto,Four-Door Car
PU95227,Washington,M,Bachelor,336241,22853,87,0,316,Personal Auto,Four-Door Car
VO87785,Arizona,F,College,485842,26480,63,0,378,Personal Auto,Two-Door Car
FS29897,Oregon,F,High School or Below,214492,0,61,1,292,Personal Auto,Four-Door Car
JG36165,California,M,Bachelor,604261,0,83,0,904,Personal Auto,Two-Door Car
SJ42058,Oregon,F,High School or Below,338720,73268,84,0,93,Personal Auto,Four-Door Car
CU13711,Oregon,F,Doctor,1086427,95579,67,0,308,Personal Auto,Four-Door Car
GT65065,Oregon,F,Master,884265,42142,112,0,396,Personal Auto,Luxury
LO77543,Washington,M,College,261661,72302,66,0,316,Special Auto,Two-Door Car
UQ85283,California,M,Bachelor,3076325,41279,115,0,251,Personal Auto,Luxury
QA49556,Washington,M,Master,520022,23401,66,0,316,Personal Auto,Four-Door Car
GE29173,Nevada,M,Bachelor,859130,0,128,0,1448,Corporate Auto,SUV
DF21541,Arizona,F,College,264657,23170,71,0,340,Personal Auto,Four-Door Car
JL59571,Oregon,F,Bachelor,460724,17343,63,0,208,Corporate Auto,Two-Door Car
DF94525,Oregon,M,College,486062,25854,68,0,396,Personal Auto,Four-Door Car
YO58424,Oregon,M,College,258084,46900,66,0,316,Corporate Auto,Four-Door Car
UF32671,Washington,F,College,529139,57338,66,0,316,Personal Auto,Four-Door Car
HO92982,California,M,High School or Below,840575,85355,71,2,458,Personal Auto,Two-Door Car
MZ24175,Arizona,F,College,309651,21604,79,0,379,Personal Auto,Four-Door Car
YD48962,Arizona,M,High School or Below,2941228,0,107,0,513,Personal Auto,SUV
RI52095,Washington,M,High School or Below,765149,51878,66,1,316,Personal Auto,Four-Door Car
MF18493,California,M,College,1749752,0,73,0,350,Personal Auto,Two-Door Car
EP61084,Nevada,F,High School or Below,321860,68776,80,0,87,Personal Auto,Four-Door Car
EN38348,Oregon,F,High School or Below,2320726,45039,96,0,192,Personal Auto,Four-Door Car
FG46258,Washington,F,College,692197,16483,90,0,320,Corporate Auto,Two-Door Car
LS98306,Nevada,M,High School or Below,1391853,64113,117,0,561,Special Auto,Four-Door Car
