customer,state,customer_lifetime_value,education,gender,income,monthly_premium_auto,number_of_open_complaints,policy_type,total_claim_amount,vehicle_class
EL81968,Oregon,7661,Bachelor,M,66726,97,1,Personal Auto,335,Two-Door Car
WU86174,California,2677,Bachelor,F,0,72,0,Personal Auto,345,Four-Door Car
DN21342,Oregon,6877,College,F,0,96,0,Personal Auto,460,Four-Door Car
PB60406,California,5714,Doctor,F,79719,71,0,Personal Auto,425,Four-Door Car
IY37465,Arizona,4929,Bachelor,M,25632,63,0,Corporate Auto,351,Two-Door Car
LF55270,Oregon,10484,College,F,61108,89,0,Personal Auto,49,Four-Door Car
UV69038,California,9490,College,M,0,137,0,Corporate Auto,657,SUV
IS63925,Arizona,7805,College,F,21073,106,1,Personal Auto,508,SUV
CQ21583,Oregon,21274,Doctor,M,17932,79,0,Personal Auto,379,Four-Door Car
PR21713,Nevada,5838,High School or Below,M,81082,73,0,Personal Auto,281,Four-Door Car
XE10977,Oregon,2677,High School or Below,F,71684,66,0,Personal Auto,196,Two-Door Car
JG87029,Oregon,2374,High School or Below,M,57338,61,0,Personal Auto,292,Two-Door Car
BK21146,Arizona,22103,College,M,0,102,0,Personal Auto,489,SUV
WE19034,Oregon,2427,College,M,24409,62,0,Corporate Auto,297,Four-Door Car
DF62718,California,7294,High School or Below,F,83488,90,0,Personal Auto,432,Four-Door Car
MS59254,Washington,11360,High School or Below,M,0,104,0,Corporate Auto,773,Two-Door Car
WC65050,California,2811,Master,F,62537,71,1,Personal Auto,354,Two-Door Car
ST27958,Washington,4386,College,M,10621,67,0,Personal Auto,321,Four-Door Car
XZ81226,Arizona,6446,Bachelor,F,43478,80,0,Personal Auto,384,Four-Door Car
TU53781,Oregon,8427,Bachelor,F,46503,215,1,Corporate Auto,1032,Luxury
GC93551,Oregon,5290,High School or Below,F,27179,66,0,Personal Auto,344,Four-Door Car
MO33279,California,5592,College,F,62229,70,0,Personal Auto,336,Two-Door Car
LD20926,Arizona,18892,Bachelor,F,0,92,1,Personal Auto,441,Two-Door Car
PW90662,Oregon,13623,College,M,67060,126,4,Personal Auto,339,SUV
WS53288,Oregon,25464,College,F,13663,97,0,Personal Auto,465,Four-Door Car
HE84643,California,2175,High School or Below,F,0,63,0,Personal Auto,453,Four-Door Car
CL37990,Arizona,6699,Bachelor,F,0,99,1,Corporate Auto,699,Four-Door Car
HR87252,California,9043,Bachelor,F,97745,113,0,Personal Auto,695,Luxury
SB27146,Oregon,4369,High School or Below,F,26026,116,1,Personal Auto,283,Two-Door Car
KI58952,California,51337,College,F,72794,164,1,Personal Auto,50,SUV
RM21896,Oregon,28699,College,F,47730,91,0,Personal Auto,219,Four-Door Car
JS38272,Arizona,4270,College,M,0,122,0,Personal Auto,725,SUV
NJ15094,Washington,5345,Bachelor,F,0,72,0,Personal Auto,345,Four-Door Car
MZ88454,Oregon,4774,Bachelor,F,0,70,0,Personal Auto,336,Four-Door Car
PO27978,Oregon,14727,Doctor,F,97785,73,0,Personal Auto,236,Two-Door Car
VT28596,California,4755,High School or Below,F,0,66,0,Personal Auto,712,Four-Door Car
TI19722,Washington,3436,Doctor,M,30817,88,0,Corporate Auto,91,Four-Door Car
DO83038,California,8355,College,F,64502,70,0,Personal Auto,39,Two-Door Car
AG62087,California,3412,Bachelor,M,30335,87,0,Corporate Auto,326,Four-Door Car
BA56812,Oregon,6185,Master,M,21020,80,0,Corporate Auto,178,Four-Door Car
QF74147,California,8456,College,F,84574,70,0,Special Auto,167,Four-Door Car
RN88075,Washington,3021,Bachelor,F,0,84,0,Personal Auto,700,Two-Door Car
OG71924,Oregon,6966,Master,F,0,93,0,Personal Auto,436,Four-Door Car
YF87007,Oregon,10083,High School or Below,F,11828,90,0,Corporate Auto,571,Four-Door Car
ZL18631,Arizona,2539,College,F,54889,63,0,Personal Auto,302,Four-Door Car
BZ71120,Oregon,8456,College,F,89918,105,0,Personal Auto,367,SUV
UP60200,California,26576,Bachelor,M,87002,110,0,Personal Auto,199,Two-Door Car
XZ64172,Oregon,10963,High School or Below,M,55687,276,0,Corporate Auto,1324,Luxury
CA47176,Oregon,9671,Bachelor,M,17103,87,0,Personal Auto,417,Two-Door Car
CI68869,Arizona,1898,College,F,0,70,5,Personal Auto,702,Two-Door Car
XT10744,Arizona,8595,College,M,28441,73,0,Special Auto,686,Two-Door Car
HT48275,Oregon,5532,Bachelor,M,91212,69,0,Personal Auto,270,Two-Door Car
HB48073,Arizona,9371,Bachelor,F,66325,117,0,Corporate Auto,497,SUV
MD43085,Oregon,3975,Doctor,F,67895,101,4,Personal Auto,403,Four-Door Car
NJ11986,Arizona,4456,Master,F,29550,114,1,Corporate Auto,118,Two-Door Car
HH55884,Arizona,3495,College,M,10275,97,0,Personal Auto,465,Four-Door Car
JP69867,Nevada,8512,College,M,61725,106,0,Personal Auto,508,Four-Door Car
FT86104,California,4650,College,M,28215,65,0,Corporate Auto,468,Two-Door Car
GV39658,Arizona,13523,College,F,10563,121,0,Corporate Auto,109,SUV
GB66110,California,4422,Bachelor,M,0,62,0,Personal Auto,722,Two-Door Car
VD51297,California,7320,College,M,99722,61,0,Personal Auto,292,Four-Door Car
EP29567,Washington,7031,Master,M,16224,93,0,Corporate Auto,498,Four-Door Car
PE59368,Washington,5123,Bachelor,F,72096,64,0,Personal Auto,252,Two-Door Car
DQ50538,Nevada,9050,Bachelor,M,63800,113,0,Personal Auto,542,SUV
WP58340,Arizona,10963,High School or Below,M,55687,276,0,Personal Auto,1324,Luxury
TM23788,California,6039,High School or Below,M,0,89,1,Personal Auto,640,Four-Door Car
UF44021,California,2108,Bachelor,M,0,61,0,Personal Auto,351,Two-Door Car
WB96917,California,9875,College,M,29598,87,0,Personal Auto,150,Two-Door Car
MN95006,California,6928,Bachelor,M,22907,180,2,Personal Auto,49,Luxury
NP60037,Oregon,14318,Bachelor,M,22697,186,1,Corporate Auto,892,Luxury
NQ71171,California,5107,Bachelor,M,70174,64,0,Personal Auto,128,Four-Door Car
SM58898,California,17223,High School or Below,F,85378,107,0,Corporate Auto,513,SUV
FN98595,Nevada,7516,High School or Below,F,31477,94,0,Special Auto,146,Four-Door Car
TW94555,Nevada,5389,College,M,66429,136,0,Personal Auto,57,Luxury
XW60886,California,6275,High School or Below,M,0,90,0,Personal Auto,900,Four-Door Car
IE84844,Nevada,4722,High School or Below,F,0,65,0,Personal Auto,655,Four-Door Car
HY76810,Oregon,6282,Bachelor,F,0,172,0,Corporate Auto,141,SUV
JL41129,California,7986,Bachelor,M,74217,100,0,Personal Auto,418,SUV
OQ41280,Nevada,6503,High School or Below,M,46298,88,3,Corporate Auto,128,Four-Door Car
AP65984,Oregon,4881,College,F,0,135,0,Personal Auto,648,SUV
EE99484,Washington,2514,High School or Below,F,43860,65,0,Corporate Auto,156,Four-Door Car
XM39121,Arizona,7955,College,F,0,69,0,Personal Auto,331,Four-Door Car
DK49336,Arizona,4809,College,M,48029,61,0,Corporate Auto,292,Four-Door Car
HB43486,Washington,9696,College,F,86830,123,0,Personal Auto,480,SUV
KB15252,Arizona,8709,College,F,0,77,0,Personal Auto,509,Two-Door Car
BN83547,Nevada,2858,High School or Below,F,40706,71,0,Personal Auto,166,Four-Door Car
MC55901,California,5233,High School or Below,F,69231,65,0,Personal Auto,193,Four-Door Car
PZ98142,Arizona,13494,College,F,0,132,0,Personal Auto,950,SUV
GB43363,Oregon,6870,College,M,0,105,0,Personal Auto,756,Four-Door Car
TH67541,Arizona,5652,High School or Below,F,16171,74,0,Corporate Auto,311,Four-Door Car
WC21901,Arizona,2345,College,M,51397,61,0,Personal Auto,292,Four-Door Car
CL38124,Oregon,19688,Bachelor,F,83879,69,0,Personal Auto,212,Four-Door Car
XH89851,California,7247,College,F,63267,92,0,Personal Auto,530,Four-Door Car
KA58700,Nevada,6085,College,M,44712,82,2,Corporate Auto,537,Four-Door Car
ZB40259,California,5480,Doctor,M,59311,69,0,Corporate Auto,14,Four-Door Car
JV63229,Arizona,6876,Bachelor,M,81957,86,0,Personal Auto,433,Four-Door Car
SI31035,Arizona,5368,Doctor,M,59601,67,0,Personal Auto,321,Four-Door Car
JW30054,Oregon,8283,High School or Below,M,71034,103,0,Corporate Auto,494,Four-Door Car
AP56340,Washington,5384,Bachelor,M,13103,72,0,Personal Auto,458,Four-Door Car
FN44127,Oregon,3508,College,M,20978,98,1,Personal Auto,1176,Four-Door Car
QE79527,California,8427,Bachelor,F,46503,215,1,Personal Auto,1032,Luxury
UP36767,California,4553,College,M,61064,113,0,Personal Auto,539,SUV
PG43749,Oregon,4318,College,F,17572,110,0,Personal Auto,639,Two-Door Car
LL96228,Oregon,14091,Master,M,99823,116,0,Corporate Auto,250,SUV
OV40993,Nevada,8693,College,F,17453,118,1,Personal Auto,566,SUV
MA80983,Oregon,6661,College,M,55663,166,0,Personal Auto,194,SUV
SA54664,Washington,2654,Master,M,73196,66,1,Personal Auto,85,Four-Door Car
TW12556,Oregon,4428,High School or Below,F,58577,110,0,Personal Auto,303,SUV
TC88451,Nevada,5738,High School or Below,F,88055,71,0,Personal Auto,337,Four-Door Car
BL93659,California,5815,Bachelor,M,0,80,0,Personal Auto,384,Four-Door Car
SI20178,California,4425,High School or Below,M,80892,110,0,Personal Auto,528,SUV
KC50464,Arizona,2574,Master,F,34990,65,0,Corporate Auto,42,Four-Door Car
HG64216,California,2832,College,M,37124,72,0,Personal Auto,430,Two-Door Car
XM91056,California,4876,High School or Below,F,22236,62,0,Personal Auto,409,Two-Door Car
KN13494,Washington,5181,Master,F,97131,64,0,Personal Auto,307,Four-Door Car
OC47565,Oregon,5947,College,F,67760,74,0,Special Auto,465,Four-Door Car
HH14259,Arizona,2563,Bachelor,F,0,69,0,Personal Auto,97,Four-Door Car
QF66741,Nevada,15144,College,M,0,62,1,Personal Auto,307,Two-Door Car
LY46898,California,5558,High School or Below,M,37473,70,0,Corporate Auto,336,Four-Door Car
MK73855,Washington,8109,High School or Below,F,32314,68,0,Personal Auto,326,Four-Door Car
HU82227,Arizona,15638,College,M,49214,102,3,Corporate Auto,371,Four-Door Car
FF75737,Oregon,8334,High School or Below,F,49851,69,1,Personal Auto,331,Four-Door Car
KJ50265,Washington,10418,High School or Below,M,27951,91,0,Personal Auto,436,Four-Door Car
OQ82364,Nevada,6846,Bachelor,F,0,95,0,Corporate Auto,456,Two-Door Car
SO47345,Arizona,9403,Master,F,56410,117,0,Personal Auto,523,SUV
JN51592,Arizona,16985,Bachelor,F,22497,212,0,Special Auto,1017,Luxury
FH36069,Arizona,21101,College,F,61347,106,0,Personal Auto,604,SUV
ZW32080,Nevada,2914,Bachelor,F,37803,74,0,Personal Auto,355,Four-Door Car
ZH98656,Nevada,8593,Master,F,91276,105,0,Personal Auto,504,SUV
GZ31904,Oregon,6861,College,M,30816,87,0,Personal Auto,237,Two-Door Car
PN47493,Oregon,2680,College,F,41968,67,0,Corporate Auto,183,Four-Door Car
CX18273,Arizona,15797,Master,M,35754,199,0,Personal Auto,612,Luxury
IG80173,California,2863,Master,F,36706,71,0,Personal Auto,435,Four-Door Car
JG76775,Washington,30061,High School or Below,M,48258,249,0,Personal Auto,1195,Luxury
JR82641,Arizona,10682,Master,M,52965,134,3,Personal Auto,83,SUV
NW41789,Oregon,2746,Bachelor,M,0,84,0,Personal Auto,604,Four-Door Car
VG74039,Oregon,2388,Bachelor,F,0,65,0,Personal Auto,455,Four-Door Car
DV27428,Oregon,13776,High School or Below,M,62634,116,0,Personal Auto,122,SUV
AN57220,Oregon,17263,Bachelor,F,96917,61,0,Special Auto,71,Four-Door Car
VD62056,Arizona,4669,High School or Below,F,76157,116,0,Personal Auto,556,Two-Door Car
AH92481,California,4673,College,F,53219,117,0,Corporate Auto,561,SUV
LX97765,Arizona,4347,College,F,81412,109,0,Personal Auto,344,Two-Door Car
JP82211,California,33873,College,F,59744,105,0,Personal Auto,476,SUV
SI88726,California,9100,College,F,38898,117,0,Corporate Auto,561,SUV
MG46007,California,6358,High School or Below,M,0,94,2,Personal Auto,17,Four-Door Car
GL69461,Oregon,2628,College,F,99961,66,2,Personal Auto,316,Four-Door Car
RA63927,Oregon,7193,High School or Below,M,30886,91,0,Personal Auto,103,Two-Door Car
UE76013,Washington,5039,Master,F,35984,128,3,Personal Auto,275,SUV
RI35792,Nevada,3962,College,F,0,125,4,Personal Auto,539,SUV
WL63802,California,6425,High School or Below,M,0,181,0,Personal Auto,1303,Luxury
KZ29413,Oregon,15672,Master,M,0,139,0,Personal Auto,667,SUV
SN23932,Arizona,3237,Master,M,60244,83,3,Personal Auto,326,Four-Door Car
YW26148,California,12992,High School or Below,F,0,72,0,Personal Auto,518,Four-Door Car
LS51818,California,22217,College,F,37553,187,0,Personal Auto,897,Luxury
ZG47195,Nevada,4931,College,M,0,73,0,Personal Auto,525,Four-Door Car
No50634,Oregon,4330,College,M,60475,107,0,Personal Auto,513,Four-Door Car
GC42314,Arizona,8296,Doctor,M,0,111,0,Personal Auto,672,SUV
SD77009,California,8334,College,M,0,136,2,Personal Auto,979,SUV
OW85480,California,5348,Master,M,25545,69,0,Personal Auto,331,Four-Door Car
SW93780,Arizona,2398,Master,M,24182,66,0,Personal Auto,316,Four-Door Car
ZW51071,Oregon,6622,High School or Below,F,80979,84,2,Personal Auto,25,Four-Door Car
CK74127,Arizona,4155,Bachelor,M,0,62,0,Corporate Auto,446,Four-Door Car
KM52241,Arizona,8430,High School or Below,F,0,74,0,Personal Auto,47,Four-Door Car
PE66545,Oregon,2545,Bachelor,M,29250,64,0,Personal Auto,308,Two-Door Car
GG70928,California,5004,Master,F,33566,63,1,Personal Auto,205,Four-Door Car
GI36262,Washington,2899,College,F,65247,72,0,Corporate Auto,381,Four-Door Car
MH85165,California,6767,High School or Below,M,39650,86,0,Personal Auto,922,Four-Door Car
AM26717,California,3123,Bachelor,M,0,101,4,Personal Auto,960,SUV
CV90092,Oregon,8184,College,M,82680,68,0,Corporate Auto,326,Four-Door Car
CL70684,California,7636,High School or Below,M,0,111,0,Corporate Auto,799,Two-Door Car
GK13851,Oregon,9227,College,M,0,129,0,Personal Auto,619,SUV
TQ73726,Oregon,7587,Bachelor,M,0,69,0,Personal Auto,460,Two-Door Car
RW65977,Arizona,2191,College,M,0,61,1,Special Auto,439,Four-Door Car
EY74093,Nevada,5004,High School or Below,M,86834,64,0,Corporate Auto,0,Four-Door Car
YG11074,Arizona,4794,Bachelor,F,46143,122,0,Personal Auto,223,SUV
HW65139,California,26730,Doctor,M,21275,240,0,Personal Auto,1152,Luxury
BT49333,Arizona,4260,High School or Below,M,47746,106,0,Personal Auto,246,SUV
KN78424,California,15477,College,M,51675,196,0,Corporate Auto,940,Luxury
TH68648,California,5126,College,M,85522,64,0,Personal Auto,165,Four-Door Car
GZ22403,Oregon,4068,High School or Below,M,0,63,4,Personal Auto,753,Two-Door Car
NU26460,Oregon,17712,College,F,0,84,0,Corporate Auto,633,Four-Door Car
PB21909,Oregon,9775,Bachelor,M,55632,123,0,Personal Auto,478,SUV
TA78865,Nevada,20534,High School or Below,M,0,93,0,Special Auto,669,Four-Door Car
FP23103,Oregon,5800,Bachelor,M,0,78,0,Special Auto,374,Two-Door Car
YK43172,Arizona,3319,Bachelor,M,69152,89,4,Personal Auto,221,Four-Door Car
YZ36062,Oregon,6529,Bachelor,M,13476,67,2,Corporate Auto,433,Four-Door Car
SJ29837,Washington,7602,High School or Below,F,0,105,0,Personal Auto,914,SUV
RC72799,Oregon,2839,College,F,33252,71,0,Personal Auto,407,Four-Door Car
AN67558,Nevada,3288,College,M,0,102,1,Personal Auto,734,SUV
EQ62488,Oregon,15031,College,F,59456,189,0,Personal Auto,907,Luxury
OA92714,California,5055,Bachelor,F,88989,63,1,Personal Auto,232,Four-Door Car
QS76805,Arizona,8012,High School or Below,M,0,107,0,Corporate Auto,513,SUV
PQ46798,California,8300,College,F,17034,113,0,Personal Auto,542,Luxury
IA56290,Arizona,2516,College,F,88435,62,0,Personal Auto,136,Four-Door Car
XU35186,California,2749,High School or Below,F,71445,70,2,Personal Auto,336,Four-Door Car
DR84620,California,8071,Bachelor,M,72149,101,0,Personal Auto,69,SUV
QG27547,Oregon,2867,Bachelor,F,23376,78,0,Personal Auto,374,Four-Door Car
NM95102,Oregon,7285,High School or Below,M,44788,61,0,Personal Auto,386,Four-Door Car
KZ26788,Washington,4118,Bachelor,F,69379,103,0,Personal Auto,494,Two-Door Car
GW25077,Oregon,5293,Bachelor,F,38521,134,0,Personal Auto,557,SUV
ZU91897,California,13265,High School or Below,M,34482,67,0,Personal Auto,83,Four-Door Car
ZK38095,California,2369,Bachelor,F,0,68,0,Personal Auto,487,Four-Door Car
TY84623,California,9816,College,M,37256,62,0,Corporate Auto,128,Four-Door Car
IP69763,Washington,21914,College,F,77311,181,0,Personal Auto,113,SUV
NF90665,Oregon,5143,Bachelor,M,39268,66,1,Personal Auto,188,Four-Door Car
KG53186,Nevada,3136,College,M,59644,79,0,Corporate Auto,379,Four-Door Car
KV57104,Oregon,7713,High School or Below,F,0,68,0,Personal Auto,326,Four-Door Car
ZX93551,Arizona,2867,Bachelor,F,23376,78,0,Personal Auto,374,Four-Door Car
TR18337,Nevada,11516,College,F,50854,73,0,Personal Auto,101,Four-Door Car
XV22744,Oregon,15025,Bachelor,F,35158,76,0,Personal Auto,165,Four-Door Car
KK27683,Nevada,4013,High School or Below,F,15413,106,0,Personal Auto,508,SUV
HX11651,Oregon,3288,College,M,17860,99,2,Personal Auto,656,Two-Door Car
FD73388,Arizona,13736,Master,F,16181,181,0,Personal Auto,1261,SUV
KF70569,Nevada,3890,High School or Below,M,91182,96,0,Personal Auto,249,Four-Door Car
CC94413,Oregon,5701,Bachelor,F,41154,72,1,Personal Auto,345,Four-Door Car
QO59138,Arizona,2590,High School or Below,M,18746,68,0,Personal Auto,326,Four-Door Car
JW58698,Oregon,3223,College,F,70277,80,0,Personal Auto,84,Four-Door Car
GT57081,Oregon,4912,Bachelor,F,0,66,0,Personal Auto,668,Four-Door Car
GU82475,California,6532,College,M,24919,84,1,Personal Auto,420,Four-Door Car
BG60187,Oregon,8012,Bachelor,M,0,79,0,Personal Auto,335,Four-Door Car
TN73558,Arizona,3731,High School or Below,F,0,96,0,Personal Auto,460,Four-Door Car
KK15032,Arizona,2702,High School or Below,F,46370,68,1,Personal Auto,326,Two-Door Car
KA95160,Arizona,23207,Master,F,89918,115,0,Personal Auto,423,SUV
KD52867,Oregon,3347,High School or Below,F,37138,85,0,Personal Auto,612,Two-Door Car
WY53775,Arizona,8382,High School or Below,M,19683,117,1,Personal Auto,561,Luxury
HS94778,Oregon,11793,College,F,32214,100,0,Personal Auto,296,SUV
EJ96266,California,2965,College,F,26472,74,0,Personal Auto,355,Four-Door Car
RK53289,California,5646,Bachelor,F,39841,72,0,Personal Auto,440,Two-Door Car
TX39594,Arizona,2452,High School or Below,F,51085,62,1,Personal Auto,406,Two-Door Car
JM93892,Arizona,5953,College,M,61006,74,0,Corporate Auto,73,Four-Door Car
PY51000,California,12883,Bachelor,M,34148,109,0,Personal Auto,451,Four-Door Car
HX74855,Washington,2471,High School or Below,M,95697,61,0,Personal Auto,114,Two-Door Car
VE64781,Arizona,2927,Bachelor,F,75685,73,0,Personal Auto,369,Four-Door Car
KY57676,California,8400,High School or Below,M,20870,72,0,Personal Auto,345,Four-Door Car
JL42497,Nevada,2729,High School or Below,F,66900,68,0,Personal Auto,326,Four-Door Car
WQ91717,Arizona,7643,College,F,0,106,1,Special Auto,508,SUV
WO39817,Oregon,2493,High School or Below,M,37043,68,3,Personal Auto,30,Two-Door Car
